Sample,Tx,Batch
H1_0_1_C,DKO0_1,Batch5
H1_0_1_D,DKO0_1,Batch6
H1_0_1_F,DKO0_1,Batch6
H1_0_2_B,DKO0_2,Batch5
H1_0_2_E,DKO0_2,Batch6
H1_0_3_A,DKO0_3,Batch5
H1_0_3_B,DKO0_3,Batch6
H1_0_3_C,DKO0_3,Batch5
H1_0_3_D,DKO0_3,Batch6
H1_0_3_E,DKO0_3,Batch5
H1_0_3_F,DKO0_3,Batch6
H1_0_4_A,DKO0_4,Batch5
H1_0_4_D,DKO0_4,Batch5
H1_0_4_E,DKO0_4,Batch6
H1_0_4_F,DKO0_4,Batch6
H1_0_5_A,DKO0_5,Batch5
H1_0_5_B,DKO0_5,Batch6
H1_0_5_C,DKO0_5,Batch5
H1_0_5_D,DKO0_5,Batch6
H1_0_5_E,DKO0_5,Batch5
H1_0_5_F,DKO0_5,Batch6
H1_1_4_A,DKO1_4,Batch5
H1_1_4_B,DKO1_4,Batch6
H1_1_4_C,DKO1_4,Batch5
H1_1_4_D,DKO1_4,Batch6
H1_1_4_E,DKO1_4,Batch5
H1_1_4_F,DKO1_4,Batch6
H1_1_5_D,DKO1_5,Batch6
H1_1_5_E,DKO1_5,Batch5
H1_1_5_F,DKO1_5,Batch6
H1_2_4_A,DKO2_4,Batch5
H1_2_4_B,DKO2_4,Batch6
H1_2_4_C,DKO2_4,Batch5
H1_2_4_D,DKO2_4,Batch6
H1_2_4_E,DKO2_4,Batch5
H1_2_4_F,DKO2_4,Batch6
H1_3_4_A,DKO3_4,Batch5
H1_3_4_B,DKO3_4,Batch6
H1_3_4_C,DKO3_4,Batch5
H1_3_4_D,DKO3_4,Batch6
H1_3_4_E,DKO3_4,Batch5
H1_3_4_F,DKO3_4,Batch6
H1_3_5_A,DKO3_5,Batch5
H1_3_5_B,DKO3_5,Batch6
H1_3_5_F,DKO3_5,Batch6
H1_4_5_A,DKO4_5,Batch5
H1_4_5_C,DKO4_5,Batch6
H1_4_5_D,DKO4_5,Batch5
H1_4_5_F,DKO4_5,Batch6
H1_X_0_A,DKOX_0,Batch5
H1_X_0_C,DKOX_0,Batch6
H1_X_0_D,DKOX_0,Batch5
H1_X_0_F,DKOX_0,Batch6
H1_X_2_A,DKOX_2,Batch5
H1_X_2_B,DKOX_2,Batch6
H1_X_2_C,DKOX_2,Batch5
H1_X_2_D,DKOX_2,Batch6
H1_X_2_E,DKOX_2,Batch5
H1_X_2_F,DKOX_2,Batch6
H1_X_3_A,DKOX_3,Batch5
H1_X_3_C,DKOX_3,Batch6
H1_X_3_D,DKOX_3,Batch5
H1_X_3_F,DKOX_3,Batch6
H1_X_4_A,DKOX_4,Batch5
H1_X_4_D,DKOX_4,Batch5
H1_X_4_E,DKOX_4,Batch6
H1_X_4_F,DKOX_4,Batch6
H1_X_5_A,DKOX_5,Batch5
H1_X_5_B,DKOX_5,Batch6
H1_X_5_C,DKOX_5,Batch5
H1_X_5_D,DKOX_5,Batch6
H1_X_5_E,DKOX_5,Batch5
H1_X_5_F,DKOX_5,Batch6
WT_8,WT_dko,Batch6
WT_9,WT_dko,Batch5
WT_10,WT_dko,Batch5